,msg_sender,sender_text,quoted_sender,quoted_text,msg_datetime,read_more_btn
12,Md. Hasib Ur Rahman,"Incident Notification:
10 2G, 9 3G & 11 4G Sites in Dhaka North are down
Severity: C3
FT: 03:24_26/01
ERT: 1 hr
POP: NGRPG49
Cause: Suspecting power issue at POP
Area: Araihazar & Rupganj
Unit: ULKA
TT: INC000017946260",,,2023-01-26 04:03,
13,Md. Hasib Ur Rahman,"Update of Site Down at 04:00 On 26-01-2023

Region: 2G/3G/4G
National: 23/12/30

DHK_M: 0/0/1
DHK_N: 11/9/17____C3 incident
DHK_S: 1/0/0
DHK_O: 0/0/0
CTG_M: 0/0/0
CTG_N: 1/1/1
CTG_S: 1/0/1
COM: 1/0/0
NOA: 2/0/2
SYL: 1/0/2
MYM: 1/0/1
BAR: 4/1/4
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-26 04:11,
14,Md. Hasib Ur Rahman,"Update of Site Down at 05:15 On 26-01-2023

Region: 2G/3G/4G
National: 26/5/32

DHK_M: 1/1/3
DHK_N: 11/0/15
DHK_S: 1/0/0
DHK_O: 0/0/0
CTG_M: 1/1/1
CTG_N: 1/1/2
CTG_S: 2/1/2
COM: 1/0/0
NOA: 3/0/2
SYL: 1/0/2
MYM: 1/0/1
BAR: 3/0/3
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-26 05:23,
15,Md. Hasib Ur Rahman,Restored,Md. Hasib Ur Rahman,"Incident Notification:
10 2G, 9 3G & 11 4G Sites in Dhaka North are down
Severity: C3
FT: 03:24_26/01
ERT: 1 hr
POP: NGRPG49
Cause: Suspecting power issue at POP
Area: Araihazar & Rupganj
Unit: ULKA
TT: INC000017946260",2023-01-26 05:27,
16,Md. Hasib Ur Rahman,"Close Notification:
10 2G, 9 3G & 11 4G Sites in Dhaka North are up
Severity: C3
FT: 03:24_26/01
RT: 05:20_26/01
DUR: 01:56
POP: NGRPG49
Cause: Power issue at POP
Action: ULKA team resolved the issue
Area: Araihazar & Rupganj
Unit: ULKA
TT: INC000017946260",Md. Hasib Ur Rahman,"Incident Notification:
10 2G, 9 3G & 11 4G Sites in Dhaka North are down
Severity: C3
FT: 03:24_26/01
ERT: 1 hr
POP: NGRPG49
Cause: Suspecting power issue at POP
Area: Araihazar & Rupganj
Unit: ULKA
TT: INC000017946260",2023-01-26 05:51,
17,Shahin Vaia,"Pending Incidents at 06:00_26/01/2023

Fiber Network:

1. NGSNG01 (Kachpur) to CMDKN01 (Gauripur) BTCL DWDM fiber is down
Impact: No outage 
Severity: C-3
FT: 16:16_25/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

2. NSBLB02 (Narayanpur) to BMSDR04 (Bhudunti) BTCL DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 00:09_26/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

3. CMCDG01 (Falgunkara) to FNSDR01 (Lemua) BTCL DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 04:01_26/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

4. NGSDRD1 (NG2120) to NGSDRF7 (NG2163) SCL OSN (Protection) fiber is down
Impact: No outage
Severity: C-3
FT: 04:30_26/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: SCL

5. DHRMP48 (DH0145) to DHRMP53 (DHHUB05) FHL OSN (…",,,2023-01-26 06:05,Read more
18,Md. Hasib Ur Rahman,"Update of Site Down at 06:00 On 26-01-2023

Region: 2G/3G/4G
National: 16/6/23

DHK_M: 1/1/3
DHK_N: 0/0/5
DHK_S: 1/0/0
DHK_O: 0/0/0
CTG_M: 1/1/1
CTG_N: 1/1/2
CTG_S: 2/1/2
COM: 2/1/1
NOA: 3/0/2
SYL: 1/0/2
MYM: 1/0/1
BAR: 3/0/3
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-26 06:07,
19,aklash vai,"My Fupa died at around 05:00 a.m.
ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন
@Jahid Vaia need emergency leave on today",,,2023-01-26 06:10,
20,Sajal,ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন,,,2023-01-26 06:11,
21,Txmonitoring,Fiber incident update at 06:00_26/01,,,2023-01-26 06:16,
22,Shahin Vaia,"Incident Tracker Consistency Status_25/01/23:

• Incident notified: 23
• Incident in tracker (ISDP): 23
• Mismatch found (Y/N): Y
• Rectification status: 02",,,2023-01-26 06:27,
23,+880 1601-004125,Inna lillahi wa inna ilaihi rajiun.,aklash vai,"My Fupa died at around 05:00 a.m.
ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন
@Jahid Vaia need emergency leave on today",2023-01-26 06:29,
24,Arif RANFLS,ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন I,aklash vai,"My Fupa died at around 05:00 a.m.
ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন
@Jahid Vaia need emergency leave on today",2023-01-26 06:30,
25,Mahafuj RNM,Cleared,Saifuzzaman Saif,Reset done. If alarm persist then please raise email to RAN BO,2023-01-25 22:21,
26,Arif RANFLS,"25-Jan'23@21:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-25 22:50,
27,Md. Hasib Ur Rahman,"Close Notification:
2 2G, 1 3G & 2 4G Sites in Dhaka North are up
Severity: C3
FT: 20:58_25/01
RT: 21:50_25/01
DUR: 00:52
Cause: GPSRP61-GPSRP44 link down. Formal RCA will cover the details investigation & its findings
Area: Sreepur
Unit: e.co
TT: INC000017945496",Mahafuj RNM,"Incident Notification:
2 2G, 1 3G & 2 4G Sites in Dhaka North are down
Severity: C3
FT: 20:58_25/01
ERT: 4 hrs
Cause: GPSRP61-GPSRP44 link down
Area: Sreepur
Unit: e.co
TT: INC000017945496",2023-01-25 22:56,
28,Shoriful,Txm :sajal vai,Gowranggo Risi,"The Duty Handover to Night shift at 22:20 on 25-Jan-2023:

SM: Alauddin Vai
CNM: Shahin Vai
TX_M: Shariful vai
TX_FLS: Rahabarul Vai
RAN_M: Hasib Vai
RAN_FLS: Arif Vai

BO Support Concerns for this week (22 January to 28 January_2023)

CN_BO: CS_ Shankar & PS_ Farhad
TX_BO: Sobuj
RAN_BO: Feroz
OSS: Shakib
IP TNO: Ashraf
TSPR: Monoj
DCN_Net: Zobaarul

Major Concern: 

1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal vai's consent.

3. NGRPGA6 (DITF COW) VIP site. RAN_FLS please check this site regularly 03 ",2023-01-25 23:01,
29,Md. Hasib Ur Rahman,"Update of Site Down at 23:00 On 25-01-2023

Region: 2G/3G/4G
National: 18/5/17

DHK_M: 0/0/0
DHK_N: 2/0/6
DHK_S: 2/0/0
DHK_O: 2/0/0
CTG_M: 2/1/1
CTG_N: 0/1/0
CTG_S: 2/0/2
COM: 3/0/1
NOA: 0/0/0
SYL: 2/0/3
MYM: 1/1/1
BAR: 2/1/2
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-25 23:05,
30,Alauddin Vai,"DG sites update at 23:00 on 25-01-2023

CC:2
CMNKT44(AT): 19:13 25-01-23
CXMHK02(Edotco): 18:06 25-01-23

DHK: 0

NCCD:1
PTGCP10(Edotco): 23:02 25-01-23

@Arif RANFLS vi, RC plz",,,2023-01-25 23:19,
31,Jalal Vaia,Any update ?,Gowranggo Risi,"General notification:
IIG to SMW4 circuits are down as confirmed by IIG ( Aamara, BTCL, Level3 and others)
Impact: Customers may face intermittent slow data experience and this impact is applicable for all MNO and data users of BD.

FT: 18:30_25/01
ERT: Yet to share
Action: IIGs are communicating with BSCCL to rectify the issue

Tracking ID: RDCNM2301251830",2023-01-25 23:20,
32,Arif RANFLS,checkeing,Alauddin Vai,"DG sites update at 23:00 on 25-01-2023

CC:2
CMNKT44(AT): 19:13 25-01-23
CXMHK02(Edotco): 18:06 25-01-23

DHK: 0

NCCD:1
PTGCP10(Edotco): 23:02 25-01-23

 vi, RC plz",2023-01-25 23:20,
33,Alauddin Vai,"Bhaiya, As discussed with Anamul Vi, no update getting yet",Jalal Vaia,Any update ?,2023-01-25 23:23,
34,Arif RANFLS,"DG sites update at 23:30 on 25-01-2023

CC:2
CMNKT44(AT): Need to checked Power Issue.
CXMHK02(Edotco): 
2G+3G: Found up
4G: Heartbeat Failure (Suspecting TX issue)

NCCD:1
PTGCP10(Edotco): Found up",Alauddin Vai,"DG sites update at 23:00 on 25-01-2023

CC:2
CMNKT44(AT): 19:13 25-01-23
CXMHK02(Edotco): 18:06 25-01-23

DHK: 0

NCCD:1
PTGCP10(Edotco): 23:02 25-01-23

 vi, RC plz",2023-01-25 23:33,
35,Alauddin Vai,"@Rahabarul Bro, plz check",,,2023-01-25 23:56,
36,Md. Hasib Ur Rahman,"Update of Site Down at 00:00 On 26-01-2023

Region: 2G/3G/4G
National: 12/4/16

DHK_M: 0/0/0
DHK_N: 1/0/6
DHK_S: 1/0/0
DHK_O: 1/0/0
CTG_M: 1/1/1
CTG_N: 0/1/0
CTG_S: 1/0/1
COM: 1/0/0
NOA: 1/0/1
SYL: 3/1/4
MYM: 1/0/1
BAR: 1/0/1
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-26 00:05,
37,Arif RANFLS,"25-Jan'23@23:00
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-26 00:06,
38,Rahabarul,"CXMHK02 :

Not getting MAC from Local BTS under VLAN : 1701 & 2701.
Need to check physically, Concern : e.co",Alauddin Vai,"@Rahabarul Bro, plz check",2023-01-26 00:07,
39,Mahafuj RNM,"Close Notification:
1 2G, 1 3G & 3 4G Sites in Dhaka Metro are up
Severity: C3
FT: 21:40_25/01
RT: 22:01_25/01
DUR: 00:21
Cause: MMU hang at DHGUL48 
Action: e.co team resolved the issue by MMU card soft restart
Area: Gulshan Thana
Unit: e.co
TT: INC000017945604",Mahafuj RNM,"Incident Notification:
1 2G, 1 3G & 3 4G Sites in Dhaka Metro are down
Severity: C3
FT: 21:40_25/01
ERT: 4 hrs
Cause: DHGUL48-DHGUL33 link down
Area: Gulshan Thana
Unit: e.co
TT: INC000017945604",2023-01-25 22:15,
40,Saifuzzaman Saif,Reset done. If alarm persist then please raise email to RAN BO,Mahafuj RNM,@Shibbir RNM Vai please check,2023-01-25 22:17,
41,Gowranggo Risi,"The Duty Handover to Night shift at 22:20 on 25-Jan-2023:

SM: Alauddin Vai
CNM: Shahin Vai
TX_M: Shariful vai
TX_FLS: Rahabarul Vai
RAN_M: Hasib Vai
RAN_FLS: Arif Vai

BO Support Concerns for this week (22 January to 28 January_2023)

CN_BO: CS_ Shankar & PS_ Farhad
TX_BO: Sobuj
RAN_BO: Feroz
OSS: Shakib
IP TNO: Ashraf
TSPR: Monoj
DCN_Net: Zobaarul

Major Concern: 

1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal vai's consent.

3. NGRPGA6 (DITF COW) VIP site. RAN_FLS please check this site regularly 03 …",,,2023-01-25 22:21,Read more
42,Gowranggo Risi,checking Bhaiya,Jalal Vaia,Pls chk,2023-01-25 21:10,
43,Eshtiuk Hossain,PDP SR degraded to 96% at Pubail vUGW06 . PS core Ops concern informed .,,,2023-01-25 18:21,
44,Saifuzzaman Saif,"25-Jan'23@16:00
BSC CSSR: No degradation
Voice Traffic: Not  updating after 13: 45 PM",,,2023-01-25 18:25,
45,Eshtiuk Hossain,"Network Update
18:00_25/01/2023

PDP SR found 100% in all UGWs except Pubail vUGW06 (SR 96%)

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay/Packet loss in Service Performance Report 

One core critical alarms found at PSA Report and also found some critical alarms of radio_n group 

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (17:30_25/01/23)",,,2023-01-25 18:29,
46,Gowranggo Risi,"VIP sites update at 18:00 on 25-01-2023

2G:1
NGRPGA6(NA): 15:59 25-01-23,DIFT COW

3G: 0

4G:3
DHUTT21(Edotco): 15:06 25-01-23,Healthcare Pharmaceuticals
DHUTT74(Edotco): 14:04 25-01-23,DEKKO GROUP
DHGULP0(AT): 13:01 25-01-23,0$ Gulshan_188",,,2023-01-25 18:40,
47,Gowranggo Risi,@Shibbir RNM  Vai Please check,Gowranggo Risi,"VIP sites update at 18:00 on 25-01-2023

2G:1
NGRPGA6(NA): 15:59 25-01-23,DIFT COW

3G: 0

4G:3
DHUTT21(Edotco): 15:06 25-01-23,Healthcare Pharmaceuticals
DHUTT74(Edotco): 14:04 25-01-23,DEKKO GROUP
DHGULP0(AT): 13:01 25-01-23,0$ Gulshan_188",2023-01-25 18:40,
48,Eshtiuk Hossain,"Net Status 24-Jan,2023

VLR(A): 43.6M(+51.7K)
VLR(R): 45.31M(+57.71K)
HLR: 112.22M(+1.28K)

4G(A): 18.63M(-215.17K)
4G(R): 24.51M(+25.79K)
EL(WD): 5.84M(-44.87K)
ELSR: 98.33%(+0.24%)

Network Performance:
CSSR2G: 99.04%(-0.32%)
CDR2G: 0.39%(+0%)
CDR3G: 0.17%(-0.01%)
PSR: 94.63%(+0.01%)
LUSR: 98.84%(-0.02%)
MTCCR: 92.77%(+0%)
SMMTSR: 59.38%(+6.6%)

Traffic:
Voice:
2G(BH): 460.09K(-6.8K)
2G(WD): 4901.83K(+288.24K)
3G(BH): 267.8K(-2.63K)
3G(WD): 3166.26K(-4.38K)

Data:
GiDL(TP): 1241.99Gbps(-71.96Gbps)
GiDL(FNA): 493.05Gbps
GiDL(GGC): 256.08Gbps
GiDL(BDIX): 5.51Gbps
2G(WD): 13.82TB(+1.81TB)
3G(WD): 616.27TB(+39.38TB)
4G(WD): 7730.08TB(-103.81TB)
TotalData: 8360.17TB(-62.62TB)

SMS:
SMMT(WD): 19.65M(+4761.83K)

IIG Peak Usage (Gbps) /Capacity (Gbps) /Uti (%):
Na…",,,2023-01-25 18:46,Read more
49,Shibbir RNM,"NGRPGA6:Resource Allocation Failure_(Unable to allocate baseband HW resources due to insufficient baseband HWAC for this RAT. Unable to allocate radio HW resources due to insufficient HWAC GSM Cell Carrier (TRX) ERS for this MO.).Concern : RAN BO
DHUTT21: O&M down no power alarm found need to check TX path.
DHUTT74: O&M down no power alarm found need to check TX path.
DHGULP0: site is up now",Gowranggo Risi,@Shibbir RNM  Vai Please check,2023-01-25 19:01,
50,Paru,"DHUTT21, DHUTT74: Relocation activity ongoing",Shibbir RNM,"NGRPGA6:Resource Allocation Failure_(Unable to allocate baseband HW resources due to insufficient baseband HWAC for this RAT. Unable to allocate radio HW resources due to insufficient HWAC GSM Cell Carrier (TRX) ERS for this MO.).Concern : RAN BO
DHUTT21: O&M down no power alarm found need to check TX path.
DHUTT74: O&M down no power alarm found need to check TX path.
DHGULP0: site is up now",2023-01-25 19:04,
51,Mahafuj RNM,"Update of Site Down at 19:00 On 25-01-2023

Region: 2G/3G/4G
National: 25/12/27

DHK_M: 1/1/0
DHK_N: 4/2/8
DHK_S: 1/0/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 0/0/0
CTG_S: 2/1/1
COM: 7/1/4
NOA: 1/2/2
SYL: 3/0/4
MYM: 4/2/3
BAR: 1/1/1
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/1
RANG: 0/0/0",,,2023-01-25 19:07,
52,Mahafuj RNM,"Incident Notification:
2 2G, 1 3G & 2 4G Sites in Mymensingh are down
Severity: C3
FT: 16:30_25/01
ERT: 4 hrs
Cause: MYFLP05-MYHLG17 link down
Area: Haluaghat
Unit: e.co
TT: INC000017944346",,,2023-01-25 16:50,
53,Shibbir RNM,As per alarm log this site was last down  today morning 9:20am for 6min. after that  till now site is up and taking traffic,Gowranggo Risi,@Shibbir RNM Vai please check GPSDRAP site all tech,2023-01-25 16:51,
54,Jalal Vaia,Why so many call drops? Any fluctuations?,Shibbir RNM,No abnormalities found on this cell currently taking both voice traffic and egprs data,2023-01-25 16:51,
55,Shibbir RNM,from alarm log only 6 min down time observed in morning today.,Jalal Vaia,Why so many call drops? Any fluctuations?,2023-01-25 16:52,
56,Mahafuj RNM,"Close Notification:
3 2G, 2 3G & 2 4G Sites in Dhaka South are up
Severity: C3
FT: 15:12_25/01
RT: 16:41_25/01
DUR: 01:29
POP: DHJTB20
Cause: Power issue at POP
Action: CP restored 
Remarks: PG run restricted here
Area: Jatrabari Thana
Unit: e.co
TT: INC000017943912",Hosna Ara,"Incident Notification:
3 2G, 2 3G & 2 4G Sites in Dhaka South are down
Severity: C3
FT: 15:12_25/01
ERT: 1 hr
POP: DHJTB20
Cause: Power issue at POP
Area: Jatrabari Thana
Unit: e.co
TT: INC000017943912",2023-01-25 16:59,
57,Jalal Vaia,"As per my observation, this is a site of a single cell. Started to take traffic from 20:00 on 24 Jan. TCH and SD congestion is very high from 9:00 on 25 Jan and again decreased at 14:00 on 25 Jan. It means some capacity dimension issue and needs planning intervention",Shibbir RNM,As per alarm log this site was last down  today morning 9:20am for 6min. after that  till now site is up and taking traffic,2023-01-25 17:01,
58,Mahafuj RNM,"Update of Site Down at 17:00 On 25-01-2023

Region: 2G/3G/4G
National: 42/18/47

DHK_M: 1/0/1
DHK_N: 1/0/7
DHK_S: 1/1/2
DHK_O: 5/5/4
CTG_M: 1/0/0
CTG_N: 0/0/2
CTG_S: 4/2/3
COM: 3/0/2
NOA: 3/3/4
SYL: 8/0/7
MYM: 7/3/7_C3 Incident
BAR: 4/2/4
KHL: 1/1/1
KUS: 1/1/2
RAJ: 2/0/1
RANG: 0/0/0",,,2023-01-25 17:05,
59,Mahafuj RNM,"Close Notification:
2 2G, 1 3G & 2 4G Sites in Mymensingh are up
Severity: C3
FT: 16:30_25/01
RT: 17:48_25/01
DUR: 01:18
Cause: PG fault at MYHLG17 
Action: e.co team resolved the issue by PG run
Area: Haluaghat
Unit: e.co
TT: INC000017944346",Mahafuj RNM,"Incident Notification:
2 2G, 1 3G & 2 4G Sites in Mymensingh are down
Severity: C3
FT: 16:30_25/01
ERT: 4 hrs
Cause: MYFLP05-MYHLG17 link down
Area: Haluaghat
Unit: e.co
TT: INC000017944346",2023-01-25 17:56,
60,Mahafuj RNM,"Update of Site Down at 18:00 On 25-01-2023

Region: 2G/3G/4G
National: 27/9/33

DHK_M: 1/0/1
DHK_N: 1/0/7
DHK_S: 1/0/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 0/0/1
CTG_S: 4/1/3
COM: 4/0/1
NOA: 1/3/3
SYL: 3/0/3
MYM: 4/1/5
BAR: 3/1/3
KHL: 1/1/1
KUS: 2/1/3
RAJ: 1/0/0
RANG: 0/0/0",,,2023-01-25 18:02,
61,Eshtiuk Hossain,"Pending Incidents at 18:00_25/01/2023

Fiber Network:

1. BSGND06(Mahilara)  to MDSDR06(Somoddarbazar,Madaripur) BTCL DWDM fiber is up but still high loss persists
Impact: No outage 
Severity: C-3 
FT: 14:38_24/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

2. CGSKD68(CT3445) to CGDMGA6(CRCTMGW1) Robi DWDM,OSN fibers are down
Impact: No outage (Uday to Boddarhat 2*100G down)
Severity: C-3
FT: 11:03_25/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: Hamida(Robi Own)

3. FPBHN04(Pukhuria 32m land) to FPNGR02(Talma land) BTCL DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 15:08_25/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

4. DHAPT24(Dhaka-1) to DHGULM1(DH0325) Robi IRU DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 16:11_25/01
ERT: Yet…",,,2023-01-25 18:03,Read more
62,Txmonitoring,Fiber incident update at 18:00_25/01,,,2023-01-25 18:08,
63,Alauddin Vai,20 S-Card access secured and rest 04 work in progress,Alauddin Vai,S-Card which send for activation,2023-01-25 15:43,
64,Hosna Ara,"Incident Notification:
6 2G, 3 3G & 9 4G Sites in Mymensingh are down
Severity: C3
FT: 15:34_25/01
ERT: 1 hr
POP: MYBLK42
Cause: Power issue at POP
Area: Bhaluka & Gaffargaon
Unit: ULKA
TT: INC000017943931",,,2023-01-25 15:47,
65,Mahafuj RNM,"Close Notification:
6 2G, 3 3G & 9 4G Sites in Mymensingh are up
Severity: C3
FT: 15:34_25/01
RT: 15:54_25/01
DUR: 00:20
POP: MYBLK42
Cause: Power issue at POP
Action: ULKA team resolved the issue by PG run
Area: Bhaluka & Gaffargaon
Unit: ULKA
TT: INC000017943931",Hosna Ara,"Incident Notification:
6 2G, 3 3G & 9 4G Sites in Mymensingh are down
Severity: C3
FT: 15:34_25/01
ERT: 1 hr
POP: MYBLK42
Cause: Power issue at POP
Area: Bhaluka & Gaffargaon
Unit: ULKA
TT: INC000017943931",2023-01-25 15:59,
66,Jalal Vaia,maximum call fail under D43BMHA.due to radio issue  need check serving cell operational issue,,,2023-01-25 16:02,
67,Mahafuj RNM,"Update of Site Down at 16:00 On 25-01-2023

Region: 2G/3G/4G
National: 37/23/46

DHK_M: 1/1/2
DHK_N: 2/1/9
DHK_S: 4/3/4_C3 Incident
DHK_O: 3/3/3
CTG_M: 1/1/0
CTG_N: 1/0/2
CTG_S: 4/3/4
COM: 4/1/2
NOA: 3/2/3
SYL: 4/0/4
MYM: 5/3/5
BAR: 2/2/3
KHL: 1/1/1
KUS: 1/2/2
RAJ: 0/0/1
RANG: 1/0/1",,,2023-01-25 16:05,
68,Jalal Vaia,"RAN FLS, pls chk",Jalal Vaia,maximum call fail under D43BMHA.due to radio issue  need check serving cell operational issue,2023-01-25 16:15,
69,Gowranggo Risi,@baitul Vai please check,Jalal Vaia,maximum call fail under D43BMHA.due to radio issue  need check serving cell operational issue,2023-01-25 16:16,
70,Gowranggo Risi,all fail under new site GPSDRAP,,,2023-01-25 16:17,
71,Gowranggo Risi,@Shibbir RNM Vai please check GPSDRAP site all tech,Gowranggo Risi,all fail under new site GPSDRAP,2023-01-25 16:21,
72,Shibbir RNM,this cell belongs to GPSDRAP. here only 2G&4G available.,Jalal Vaia,"RAN FLS, pls chk",2023-01-25 16:47,
73,Shibbir RNM,No abnormalities found on this cell currently taking both voice traffic and egprs data,Shibbir RNM,this cell belongs to GPSDRAP. here only 2G&4G available.,2023-01-25 16:49,
74,Hosna Ara,"Update Notification:
2 2G, 2 3G & 2 4G Sites in Dhaka Metro are still down
Severity: C3
FT: 12:59_25/01
ERT: Yet to share
POP: DHSBB47
Cause: Outage occurred due to CR_ 582846 activity
CR Slogan: DSS 2OMhz Project  at Dhaka
Action: CR team is still working 
Remarks: Downtime exceeded & impact list mismatched 
Area: Sabujbagh Thana
Unit: R & I
TT: INC000017943354",,,2023-01-25 13:43,
75,Hosna Ara,Restored,Hosna Ara,"Update Notification:
2 2G, 2 3G & 2 4G Sites in Dhaka Metro are still down
Severity: C3
FT: 12:59_25/01
ERT: Yet to share
POP: DHSBB47
Cause: Outage occurred due to CR_ 582846 activity
CR Slogan: DSS 2OMhz Project  at Dhaka
Action: CR team is still working 
Remarks: Downtime exceeded & impact list mismatched 
Area: Sabujbagh Thana
Unit: R & I
TT: INC000017943354",2023-01-25 13:47,
